0001;Bulbasaur;Seed Pokemon;For some time after its birth, it uses the nutrients that are packed into the seed on its back in order to grow. As its body grows larger, the seed does too.
0002;Ivysaur;Seed Pokemon;The more sunlight Ivysaur bathes in, the more strength wells up within it, allowing the bud on its back to grow larger. The bulb on its back grows as it absorbs nutrients. The bulb gives off a pleasant aroma when it blooms. 
0003;Venusaur;Seed Pokemon;While it basks in the sun, it can convert the light into energy. By spreading the broad petals of its flower and catching the sun’s rays, it fills its body with power. As a result, it is more powerful in the summertime.
0004;Charmander;Lizard Pokemon;The flame on its tail shows the strength of its life-force. If Charmander is weak, the flame also burns weakly. If Charmander is healthy, the flame on the tip of its tail will burn vigorously and won’t go out even if it gets a bit wet.
0005;Charmeleon;Flame Pokemon;Charmeleon is very hotheaded by nature, so it constantly seeks opponents to battle against. Its aggression will not be quelled if it doesn’t win. When it swings its burning tail, the temperature around it rises higher and higher, tormenting its opponents.
0006;Charizard;Flame Pokemon;Charizard uses its wings to fly sky-high. The more experience it gains in battle, the greater the temperature at which its flames burn. If Charizard becomes truly angered, the flame at the tip of its tail burns in a light blue shade.
0007;Squirtle;Tiny PokemonTurtle Pokemon;Its shell is soft immediately after it is born. In no time at all, the shell becomes so resilient that a prodding finger will bounce right off it. It sprays a potent foam from its mouth.
0008;Wartortle;Turtle Pokemon;It often hides in water to stalk unwary prey. While swimming quickly, it moves its ears to maintain balance. Wartortle’s long, furry tail is a symbol of longevity, so this Pokémon is quite popular among older people.
0009;Blastoise;Shellfish Pokemon;Blastoise has jet nozzles on its shell. This impressive Pokémon uses these jets to charge toward foes with all the force of a rocket. It deliberately increases its body weight so it can withstand the recoil of the water jets it fires.
0010;Caterpie;Worm Pokemon;Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls. For protection, it releases a horrible stench from the antenna on its head to drive away enemies.
0011;Metapod;Cocoon Pokemon;It is waiting for the moment to evolve. At this stage, it can only harden, so it remains motionless to avoid attack. Even though it is encased in a sturdy shell, the body inside is tender. It can’t withstand a harsh attack.
0012;Butterfree;Butterfly Pokemon;It loves the nectar of flowers and can locate flower patches that have even tiny amounts of pollen.
0013;Weedle;Hairy PokemonBug Pokemon;Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves.
0014;Kakuna;Cocoon Pokemon;Able to move only slightly. When endangered, it may stick out its stinger and poison its enemy.
0015;Beedrill;Poison PokemonBee Pokemon;It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly
0016;Pidgey;Tiny PokemonBird Pokemon;Very docile. If attacked, it will often kick up sand to protect itself rather than fight back.
0017;Pidgeotto;Bird Pokemon;This Pokémon is full of vitality. It constantly flies around its large territory in search of prey.
0018;Pidgeot;Bird Pokemon;This Pokémon flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons.
0019;Rattata;Mouse Pokemon;Will chew on anything with its fangs. If you see one, you can be certain that 40 more live in the area.
0020;Raticate;Mouse Pokemon;Its hind feet are webbed. They act as flippers, so it can swim in rivers and hunt for prey.
0021;Spearow;Tiny PokemonBird Pokemon;Inept at flying high. However, it can fly around very fast to protect its territory.
0022;Fearow;Beak Pokemon;A Pokémon that dates back many years. If it senses danger, it flies high and away, instantly.
0023;Ekans;Snake Pokemon;A very common sight in grasslands and such. It flicks its tongue in and out to sense danger in its surroundings. It can freely detach its jaw to swallow large prey whole. It can become too heavy to move, however.
0024;Arbok;Cobra Pokemon;This Pokémon is very tenacious. Once it targets its prey, it won’t give up the chase, no matter how far the prey goes. The pattern on its belly appears to be a frightening face. Weak foes will flee just at the sight of the pattern.
0025;Pikachu;Mouse Pokemon;When it is angered, it immediately discharges the energy stored in the pouches in its cheeks. When several of these Pokémon gather, their electricity can build and cause lightning storms.
0026;Raichu;Mouse Pokemon;Its tail discharges electricity into the ground, protecting it from getting shocked. If the electric pouches in its cheeks become fully charged, both ears will stand straight up.
0027;Sandshrew;Mouse Pokemon;It digs deep burrows to live in. When in danger, it rolls up its body to withstand attacks. No matter how high a place it falls from, this Pokémon can save itself by rolling into a ball and bouncing.
0027;Alolan Sandshrew;Mouse Pokemon;It lives on snowy mountains. Its steel shell is very hard—so much so, it can’t roll its body up into a ball. An ancient tradition of Alolan festivals, still carried on to this day, is a competition to slide Sandshrew across ice as far as one can.
0028;Sandslash;Mouse Pokemon;The spikes on its body are made up of its hardened hide. It rolls up and attacks foes with its spikes. It is adept at attacking with the spines on its back and its sharp claws while quickly scurrying about.
0028;Alolan Sandslash; Mouse Pokemon;This Pokémon’s steel spikes are sheathed in ice. Stabs from these spikes cause deep wounds and severe frostbite as well. A long, long time ago, it lived in the desert. With its sharp claws fully extended, it can run right up an iceberg without slipping. 
0029;Nidoran♀;Poison PokemonPin Pokemon;It uses its hard incisor teeth to crush and eat berries. The tip of a female Nidoran’s horn is a bit more rounded than the tip of a male’s horn. Females are more sensitive to smells than males. While foraging, they’ll use their whiskers to check wind direction and stay downwind of predators.
0030;Nidorina;Poison PokemonPin Pokemon;The horn on its head has atrophied. It’s thought that this happens so Nidorina’s children won’t get poked while their mother is feeding them. If the group is threatened, these Pokémon will band together to assault enemies with a chorus of ultrasonic waves. 
0031;Nidoqueen;Drill Pokemon;Nidoqueen is better at defense than offense. With scales like armor, this Pokémon will shield its children from any kind of attack. It pacifies offspring by placing them in the gaps between the spines on its back. The spines will never secrete poison while young are present.
0032;Nidoran♂;Poison Pin Pokemon;Small but brave, this Pokémon will hold its ground and even risk its life in battle to protect the female it’s friendly with. The horn on a male Nidoran’s forehead contains a powerful poison. This is a very cautious Pokémon, always straining its large ears. 
0033;Nidorino;Poison Pin Pokemon;It’s nervous and quick to act aggressively. The potency of its poison increases along with the level of adrenaline present in its body. With a horn that’s harder than diamond, this Pokémon goes around shattering boulders as it searches for a moon stone.
0034;Nidoking;Drill Pokemon;Nidoking prides itself on its strength. It’s forceful and spirited in battle, making use of its thick tail and diamond-crushing horn. When it goes on a rampage, it’s impossible to control. But in the presence of a Nidoqueen it’s lived with for a long time, Nidoking calms down.
0035;Clefairy;Fairy Pokemon;On nights with a full moon, Clefairy gather from all over and dance. Bathing in moonlight makes them float. The surrounding area is enveloped in an abnormal magnetic field.
0036;Clefable;Fairy Pokemon;Said to live in quiet, remote mountains, this type of fairy has a strong aversion to being seen. It has an acute sense of hearing. It can easily hear a pin being dropped nearly 1,100 yards away.
0037;Vulpix;Fox Pokemon;As its body grows larger, its six warm tails become more beautiful, with a more luxurious coat of fur. If it is attacked by an enemy that is stronger than itself, it feigns injury to fool the enemy and escapes.
