0001	Bulbasaur	Bulbasaur   Seed Pokémon	たねポケモン	Seed Pokémon
0002	Ivysaur	    Ivysaur	    Seed Pokémon	たねポケモン	Seed Pokémon
0003	Venusaur	Venusaur	Seed Pokémon	たねポケモン	Seed Pokémon
0004	Charmander	Charmander	Lizard Pokémon	とかげポケモン	Lizard Pokémon
0005	Charmeleon	Charmeleon	Flame Pokémon	かえんポケモン	Flame Pokémon
0006	Charizard	Charizard	Flame Pokémon	かえんポケモン	Flame Pokémon
0007	Squirtle	Squirtle	Tiny Turtle Pokémon	かめのこポケモン	Young Turtle Pokémon
0008	Wartortle	Wartortle	Turtle Pokémon	かめポケモン	Turtle Pokémon
0009	Blastoise	Blastoise	Shellfish Pokémon	こうらポケモン	Shell Pokémon
0010	Caterpie	Caterpie	Worm Pokémon	いもむしポケモン	Caterpillar Pokémon
0011	Metapod	    Metapod	Cocoon Pokémon	さなぎポケモン	Chrysalis Pokémon
0012	Butterfree	Butterfree	Butterfly Pokémon	ちょうちょポケモン	Butterfly Pokémon
0013	Weedle	    Weedle	Hairy Bug Pokémon	けむしポケモン	Hairy Caterpillar Pokémon
0014	Kakuna	    Kakuna	Cocoon Pokémon	さなぎポケモン	Chrysalis Pokémon
0015	Beedrill	Beedrill	Poison Bee Pokémon	どくばちポケモン	Poison Bee Pokémon
0016	Pidgey	    Pidgey	Tiny Bird Pokémon	ことりポケモン	Tiny Bird Pokémon
0017	Pidgeotto	Pidgeotto	Bird Pokémon	とりポケモン	Bird Pokémon
0018	Pidgeot	    Pidgeot	Bird Pokémon	とりポケモン	Bird Pokémon
0019	Rattata	    Rattata	Mouse Pokémon	ねずみポケモン	Mouse Pokémon
0020	Raticate	Raticate	Mouse Pokémon	ねずみポケモン	Mouse Pokémon
0021	Spearow	    Spearow	Tiny Bird Pokémon	ことりポケモン	Tiny Bird Pokémon
0022	Fearow	    Fearow	Beak Pokémon	くちばしポケモン	Beak Pokémon
0023	Ekans	    Ekans	Snake Pokémon	へびポケモン	Snake Pokémon
0024	Arbok	    Arbok	Cobra Pokémon	コブラポケモン	Cobra Pokémon
0025	Pikachu	    Pikachu	Mouse Pokémon	ねずみポケモン	Mouse Pokémon
0026	Raichu	    Raichu	Mouse Pokémon	ねずみポケモン	Mouse Pokémon
0027	Sandshrew	Sandshrew	Mouse Pokémon	ねずみポケモン	Mouse Pokémon
0028	Sandslash	Sandslash	Mouse Pokémon	ねずみポケモン	Mouse Pokémon
0029	Nidoran♀	Nidoran♀	Poison Pin Pokémon	どくばりポケモン	Poison Pin Pokémon
0030	Nidorina	Nidorina	Poison Pin Pokémon	どくばりポケモン	Poison Pin Pokémon
0031	Nidoqueen	Nidoqueen	Drill Pokémon	ドリルポケモン	Drill Pokémon
0032	Nidoran♂	Nidoran♂	Poison Pin Pokémon	どくばりポケモン	Poison Pin Pokémon
0033	Nidorino	Nidorino	Poison Pin Pokémon	どくばりポケモン	Poison Pin Pokémon
0034	Nidoking	Nidoking	Drill Pokémon	ドリルポケモン	Drill Pokémon
0035	Clefairy	Clefairy	Fairy Pokémon	ようせいポケモン	Fairy Pokémon
0036	Clefable	Clefable	Fairy Pokémon	ようせいポケモン	Fairy Pokémon
0037	Vulpix	    Vulpix	Fox Pokémon	きつねポケモン	Fox Pokémon
0038	Ninetales	Ninetales	Fox Pokémon	きつねポケモン	Fox Pokémon
0039	Jigglypuff	Jigglypuff	Balloon Pokémon	ふうせんポケモン	Balloon Pokémon
0040	Wigglytuff	Wigglytuff	Balloon Pokémon	ふうせんポケモン	Balloon Pokémon
0041	Zubat	    Zubat	Bat Pokémon	こうもりポケモン	Bat Pokémon
0042	Golbat	    Golbat	Bat Pokémon	こうもりポケモン	Bat Pokémon
0043	Oddish	    Oddish	Weed Pokémon	ざっそうポケモン	Weed Pokémon
0044	Gloom	    Gloom	Weed Pokémon	ざっそうポケモン	Weed Pokémon
0045	Vileplume	Vileplume	Flower Pokémon	フラワーポケモン	Flower Pokémon
0046	Paras	    Paras	Mushroom Pokémon	きのこポケモン	Mushroom Pokémon
0047	Parasect	Parasect	Mushroom Pokémon	きのこポケモン	Mushroom Pokémon
0048	Venonat	    Venonat	Insect Pokémon	こんちゅうポケモン	Insect Pokémon
0049	Venomoth	Venomoth	Poison Moth Pokémon	どくがポケモン	Poison Moth Pokémon
0050	Diglett	    Diglett	Mole Pokémon	もぐらポケモン	Mole Pokémon
0051	Dugtrio	    Dugtrio	Mole Pokémon	もぐらポケモン	Mole Pokémon
0052	Meowth	    Meowth	Scratch Cat Pokémon	ばけねこポケモン	Bakeneko Pokémon
0053	Persian	    Persian	Classy Cat Pokémon	シャムネコポケモン	Siamese Cat Pokémon
0054	Psyduck	    Psyduck	Duck Pokémon	あひるポケモン	Duck Pokémon
0055	Golduck	    Golduck	Duck Pokémon	あひるポケモン	Duck Pokémon
0056	Mankey	    Mankey	Pig Monkey Pokémon	ぶたざるポケモン	Pig Monkey Pokémon
0057	Primeape	Primeape	Pig Monkey Pokémon	ぶたざるポケモン	Pig Monkey Pokémon
0058	Growlithe	Growlithe	Puppy Pokémon	こいぬポケモン	Puppy Pokémon
0058	Growlithe	Growlithe Hisuian Form	Scout Pokémon	みはりポケモン	Lookout Pokémon
0059	Arcanine	Arcanine	Legendary Pokémon	でんせつポケモン	Legend Pokémon
0060	Poliwag	Poliwag	Tadpole Pokémon	おたまポケモン	Tadpole Pokémon
0061	Poliwhirl	Poliwhirl	Tadpole Pokémon	おたまポケモン	Tadpole Pokémon
0062	Poliwrath	Poliwrath	Tadpole Pokémon	おたまポケモン	Tadpole Pokémon
0063	Abra	Abra	Psi Pokémon	ねんりきポケモン	Psychic Power Pokémon
0064	Kadabra	Kadabra	Psi Pokémon	ねんりきポケモン	Psychic Power Pokémon
0065	Alakazam	Alakazam	Psi Pokémon	ねんりきポケモン	Psychic Power Pokémon
0066	Machop	Machop	Superpower Pokémon	かいりきポケモン	Superhuman Strength Pokémon
0067	Machoke	Machoke	Superpower Pokémon	かいりきポケモン	Superhuman Strength Pokémon
0068	Machamp	Machamp	Superpower Pokémon	かいりきポケモン	Superhuman Strength Pokémon
0069	Bellsprout	Bellsprout	Flower Pokémon	フラワーポケモン	Flower Pokémon
0070	Weepinbell	Weepinbell	Flycatcher Pokémon	ハエとりポケモン	Flycatcher Pokémon
0071	Victreebel	Victreebel	Flycatcher Pokémon	ハエとりポケモン	Flycatcher Pokémon
0072	Tentacool	Tentacool	Jellyfish Pokémon	くらげポケモン	Jellyfish Pokémon
0073	Tentacruel	Tentacruel	Jellyfish Pokémon	くらげポケモン	Jellyfish Pokémon
0074	Geodude	Geodude	Rock Pokémon	がんせきポケモン	Rock Pokémon
0075	Graveler	Graveler	Rock Pokémon	がんせきポケモン	Rock Pokémon
0076	Golem	Golem	Megaton Pokémon	メガトンポケモン	Megaton Pokémon
0077	Ponyta	Ponyta	Fire Horse Pokémon	ひのうまポケモン	Fire Horse Pokémon
0077	Ponyta	Ponyta
Galarian Form	Unique Horn Pokémon	いっかくポケモン	One Horn Pokémon
0078	Rapidash	Rapidash	Fire Horse Pokémon	ひのうまポケモン	Fire Horse Pokémon
0078	Rapidash	Rapidash
Galarian Form	Unique Horn Pokémon	いっかくポケモン	One Horn Pokémon
0079	Slowpoke	Slowpoke	Dopey Pokémon	まぬけポケモン	Stupid Pokémon
0080	Slowbro	Slowbro	Hermit Crab Pokémon	やどかりポケモン	Hermit Crab Pokémon
0081	Magnemite	Magnemite	Magnet Pokémon	じしゃくポケモン	Magnet Pokémon
0082	Magneton	Magneton	Magnet Pokémon	じしゃくポケモン	Magnet Pokémon
